zip_code,city,state,territory_id
01350,"MONROE BRIDGE",MA,ID101B07
01351,MONTAGUE,MA,ID101B07
01354,GILL,MA,ID101B07
01355,"NEW SALEM",MA,ID101B07
01360,NORTHFIELD,MA,ID101B07
01364,ORANGE,MA,ID101B07
01366,PETERSHAM,MA,ID101B07
01367,ROWE,MA,ID101B07
01368,ROYALSTON,MA,ID101B07
01370,"SHELBURNE FALLS",MA,ID101B07
01373,"SOUTH DEERFIELD",MA,ID101B07
01375,SUNDERLAND,MA,ID101B07
01376,"TURNERS FALLS",MA,ID101B07
01378,WARWICK,MA,ID101B07
01379,WENDELL,MA,ID101B07
01380,"WENDELL DEPOT",MA,ID101B07
01420,FITCHBURG,MA,ID101B07
01425,FITCHBURG,MA,ID101B07
01426,FITCHBURG,MA,ID101B07
01430,ASHBURNHAM,MA,ID101B07
01431,ASHBY,MA,ID101B07
01432,AYER,MA,ID101B06
01434,DEVENS,MA,ID101B06
01436,BALDWINVILLE,MA,ID101B07
01438,"EAST TEMPLETON",MA,ID101B07
01440,GARDNER,MA,ID101B07
01441,WESTMINSTER,MA,ID101B07
01450,GROTON,MA,ID101B06
01451,HARVARD,MA,ID101B06
01452,HUBBARDSTON,MA,ID101B07
01453,LEOMINSTER,MA,ID101B07
01460,LITTLETON,MA,ID101B06
01462,LUNENBURG,MA,ID101B07
01463,PEPPERELL,MA,ID101B06
01464,SHIRLEY,MA,ID101B06
01467,"STILL RIVER",MA,ID101B06
01468,TEMPLETON,MA,ID101B07
01469,TOWNSEND,MA,ID101B06
01470,GROTON,MA,ID101B06
01471,GROTON,MA,ID101B06
01472,"WEST GROTON",MA,ID101B06
01473,WESTMINSTER,MA,ID101B07
01474,"WEST TOWNSEND",MA,ID101B07
01475,WINCHENDON,MA,ID101B07
01477,"WINCHENDON SPRINGS",MA,ID101B07
01501,AUBURN,MA,ID101B07
01503,BERLIN,MA,ID101B06
01504,BLACKSTONE,MA,ID101B06
01505,BOYLSTON,MA,ID101B06
01506,BROOKFIELD,MA,ID101B07
01507,CHARLTON,MA,ID101B07
01508,"CHARLTON CITY",MA,ID101B07
01509,"CHARLTON DEPOT",MA,ID101B07
01510,CLINTON,MA,ID101B06
01515,"EAST BROOKFIELD",MA,ID101B07
01516,DOUGLAS,MA,ID101B06
01517,"EAST PRINCETON",MA,ID101B07
01518,FISKDALE,MA,ID101B07
01519,GRAFTON,MA,ID101B06
01520,HOLDEN,MA,ID101B07
01521,HOLLAND,MA,ID101B07
01522,JEFFERSON,MA,ID101B07
01523,LANCASTER,MA,ID101B06
01524,LEICESTER,MA,ID101B07
01525,LINWOOD,MA,ID101B06
01526,MANCHAUG,MA,ID101B06
01527,MILLBURY,MA,ID101B06
01529,MILLVILLE,MA,ID101B06
01531,"NEW BRAINTREE",MA,ID101B07
01532,NORTHBOROUGH,MA,ID101B06
01534,NORTHBRIDGE,MA,ID101B06
01535,"NORTH BROOKFIELD",MA,ID101B07
01536,"NORTH GRAFTON",MA,ID101B06
01537,"NORTH OXFORD",MA,ID101B07
01538,"NORTH UXBRIDGE",MA,ID101B06
01540,OXFORD,MA,ID101B07
01541,PRINCETON,MA,ID101B07
01542,ROCHDALE,MA,ID101B07
01543,RUTLAND,MA,ID101B07
01545,SHREWSBURY,MA,ID101B06
01546,SHREWSBURY,MA,ID101B06
01550,SOUTHBRIDGE,MA,ID101B07
01560,"SOUTH GRAFTON",MA,ID101B06
01561,"SOUTH LANCASTER",MA,ID101B06
01562,SPENCER,MA,ID101B07
01564,STERLING,MA,ID101B06
01566,STURBRIDGE,MA,ID101B07
01568,UPTON,MA,ID101B06
01569,UXBRIDGE,MA,ID101B06
01570,WEBSTER,MA,ID101B07
01571,DUDLEY,MA,ID101B07
01580,WESTBOROUGH,MA,ID101B06
01581,WESTBOROUGH,MA,ID101B06
01582,WESTBOROUGH,MA,ID101B06
01583,"WEST BOYLSTON",MA,ID101B07
01585,"WEST BROOKFIELD",MA,ID101B07
01586,"WEST MILLBURY",MA,ID101B06
01588,WHITINSVILLE,MA,ID101B06
01590,SUTTON,MA,ID101B06
01600,WORCESTER,MA,ID101B07
01601,WORCESTER,MA,ID101B07
01602,WORCESTER,MA,ID101B07
01603,WORCESTER,MA,ID101B07
01604,WORCESTER,MA,ID101B06
01605,WORCESTER,MA,ID101B07
01606,WORCESTER,MA,ID101B07
01607,WORCESTER,MA,ID101B07
01608,WORCESTER,MA,ID101B07
01609,WORCESTER,MA,ID101B07
01610,WORCESTER,MA,ID101B07
01611,"CHERRY VALLEY",MA,ID101B07
01612,PAXTON,MA,ID101B07
01613,WORCESTER,MA,ID101B07
01614,WORCESTER,MA,ID101B07
01615,WORCESTER,MA,ID101B07
01653,WORCESTER,MA,ID101B07
01654,WORCESTER,MA,ID101B07
01655,WORCESTER,MA,ID101B07
01701,FRAMINGHAM,MA,ID101B06
01702,FRAMINGHAM,MA,ID101B06
01703,FRAMINGHAM,MA,ID101B06
01704,FRAMINGHAM,MA,ID101B06
01705,FRAMINGHAM,MA,ID101B06
01718,"VILLAGE OF NAGOG WOODS",MA,ID101B06
01719,BOXBOROUGH,MA,ID101B06
01720,ACTON,MA,ID101B06
01721,ASHLAND,MA,ID101B06
